source_path,target_path,role,rows,bytes,source_sha256,target_sha256
manuscript_plots_final/Figure1/Figure1D_hook-filament-count_Ptet/data/underlying_cell_points.csv,data/processed/figure_01/F1_E/cell_points.csv,processed_cell_points,18873,2057637,949407c2d713642e71c985117d2172fa5f973a0af94fdf823ff20b9aa22eb77b,949407c2d713642e71c985117d2172fa5f973a0af94fdf823ff20b9aa22eb77b
manuscript_plots_final/Figure1/Figure1D_hook-filament-count_Ptet/data/underlying_bubble_counts.csv,data/processed/figure_01/F1_E/legacy_bubble_counts.csv,legacy_bubble_reference,51,1961,980b6f8a0cfbbf948c4f3ec406e7a3f1d1f04885f9663a4cf55a7886fc26d3dd,980b6f8a0cfbbf948c4f3ec406e7a3f1d1f04885f9663a4cf55a7886fc26d3dd
manuscript_plots_final/Figure1/Figure1D_hook-filament-count_Ptet/data/hook_filament_spearman_summary.csv,data/processed/figure_01/F1_E/legacy_statistics.csv,legacy_statistics_reference,1,296,2f2b879b8812e1120950db885b476f5b220d87b97d148149fca951540027b701,2f2b879b8812e1120950db885b476f5b220d87b97d148149fca951540027b701
manuscript_plots_final/Figure1/Figure1D_hook-filament-count_Ptet/data/underlying_cell_points.csv,data/source_data/figure_01/F1_E/cell_points.csv,source_data_cell_points,18873,2057637,949407c2d713642e71c985117d2172fa5f973a0af94fdf823ff20b9aa22eb77b,949407c2d713642e71c985117d2172fa5f973a0af94fdf823ff20b9aa22eb77b
manuscript_plots_final/Figure1/Figure1D_hook-filament-count_Ptet/data/underlying_bubble_counts.csv,data/source_data/figure_01/F1_E/bubble_counts.csv,source_data_plotted_values,51,1961,980b6f8a0cfbbf948c4f3ec406e7a3f1d1f04885f9663a4cf55a7886fc26d3dd,980b6f8a0cfbbf948c4f3ec406e7a3f1d1f04885f9663a4cf55a7886fc26d3dd
manuscript_plots_final/Figure1/Figure1D_hook-filament-count_Ptet/data/hook_filament_spearman_summary.csv,data/source_data/figure_01/F1_E/statistics.csv,source_data_statistics,1,296,2f2b879b8812e1120950db885b476f5b220d87b97d148149fca951540027b701,2f2b879b8812e1120950db885b476f5b220d87b97d148149fca951540027b701
manuscript_plots_final/Figure2/Figure2E_hook-count_Ppro/data/hook_count_ppro_histogram_counts_by_replicate.csv,data/processed/figure_01/F1_H/histogram_counts.csv,processed_histogram_counts,162,6455,e38ac3b3ae5b064ed1d71620df2498237f7a0d3e50d3eb9a9333058e45e9c58b,e38ac3b3ae5b064ed1d71620df2498237f7a0d3e50d3eb9a9333058e45e9c58b
manuscript_plots_final/Figure2/Figure2E_hook-count_Ppro/data/hook_count_ppro_replicate_means.csv,data/processed/figure_01/F1_H/replicate_means.csv,processed_replicate_means,15,1133,e01461b3cb644574f1fdbf9e1862abf472ea5636a0349ef8b0b33f1ecf735407,e01461b3cb644574f1fdbf9e1862abf472ea5636a0349ef8b0b33f1ecf735407
manuscript_plots_final/Figure2/Figure2E_hook-count_Ppro/data/stats_vs_wt.csv,data/processed/figure_01/F1_H/legacy_statistics.csv,legacy_statistics_reference,5,1681,255494b37f809edac20ed8c4dc6b6e44499de7796304c5ee893534f6e79ae280,255494b37f809edac20ed8c4dc6b6e44499de7796304c5ee893534f6e79ae280
manuscript_plots_final/Figure2/Figure2E_hook-count_Ppro/data/Figure2E_hook-count_Ppro_summary_table.csv,data/processed/figure_01/F1_H/legacy_summary.csv,legacy_summary_reference,5,1856,126722f02c5b6c07a43670906e9de2950ff06cb36cddf4226ed98bef4e256d7d,126722f02c5b6c07a43670906e9de2950ff06cb36cddf4226ed98bef4e256d7d
manuscript_plots_final/Figure2/Figure2E_hook-count_Ppro/data/hook_count_ppro_all_plotted_points.csv,data/source_data/figure_01/F1_H/plotted_values.csv,source_data_plotted_values,41676,2641305,1f560fd95818be937108b3efc6a73ce712da2eca6d47de27a00b9587e8a18280,1f560fd95818be937108b3efc6a73ce712da2eca6d47de27a00b9587e8a18280
manuscript_plots_final/Figure2/Figure2E_hook-count_Ppro/data/stats_vs_wt.csv,data/source_data/figure_01/F1_H/statistics.csv,source_data_statistics,5,1681,255494b37f809edac20ed8c4dc6b6e44499de7796304c5ee893534f6e79ae280,255494b37f809edac20ed8c4dc6b6e44499de7796304c5ee893534f6e79ae280
manuscript_plots_final/Figure2/Figure2E_hook-count_Ppro/data/Figure2E_hook-count_Ppro_summary_table.csv,data/source_data/figure_01/F1_H/summary.csv,source_data_summary,5,1856,126722f02c5b6c07a43670906e9de2950ff06cb36cddf4226ed98bef4e256d7d,126722f02c5b6c07a43670906e9de2950ff06cb36cddf4226ed98bef4e256d7d
